createdAt,attempt_end_time,actor.id,equipment_check_time_min,attempt_success,attempt_id,attempt_size,amount_of_errors,Error: Face not found,Error: Incorrect facial position,Error: Incorrect passport position,other,browser,os,is_mobile,browser_version,os_version,country,region
2025-04-06 13:38:56.887000+00:00,2025-04-06 13:51:07.273000+00:00,user_00001,12.1731,1,1,8,2,0.0,0.0,0.0,1.0,Chrome,Windows,False,134.0.0,10,RU,Irkutsk Oblast
2025-04-06 13:58:11.873000+00:00,2025-04-06 13:58:11.873000+00:00,user_00001,0.0,1,2,1,0,0.0,0.0,0.0,0.0,Chrome,Windows,False,134.0.0,10,RU,Irkutsk Oblast
2025-04-21 06:35:31.362000+00:00,2025-04-21 06:39:11.843000+00:00,user_00001,3.6746833333333333,1,3,4,0,0.0,0.0,0.0,0.0,Chrome Mobile iOS,iOS,True,135.0.7049,18.3.2,RU,Irkutsk Oblast
2025-04-21 06:47:12.466000+00:00,2025-04-21 06:51:14.418000+00:00,user_00001,4.032533333333333,1,4,4,0,0.0,0.0,0.0,0.0,Chrome Mobile iOS,iOS,True,135.0.7049,18.3.2,RU,Irkutsk Oblast
2025-05-16 07:45:36.872000+00:00,2025-05-16 07:49:38.955000+00:00,user_00001,4.034716666666666,0,5,6,3,1.0,1.0,0.0,0.0,Chrome,Windows,False,136.0.0,10,RU,Irkutsk Oblast
2025-06-25 01:10:58.411000+00:00,2025-06-25 01:15:38.642000+00:00,user_00001,4.670516666666667,1,6,5,0,0.0,0.0,0.0,0.0,Chrome,Windows,False,137.0.0,10,RU,
2025-12-16 04:49:05.206000+00:00,2025-12-16 04:57:44.254000+00:00,user_00001,8.6508,1,7,9,5,0.0,1.0,0.0,2.0,Chrome,Windows,False,143.0.0,10,RU,
2025-12-16 06:18:13.896000+00:00,2025-12-16 06:25:03.666000+00:00,user_00001,6.8294999999999995,1,8,6,2,0.0,0.0,0.0,1.0,Chrome,Windows,False,143.0.0,10,RU,
2025-12-16 07:09:35.912000+00:00,2025-12-16 07:13:47.113000+00:00,user_00001,4.186683333333333,1,9,4,0,0.0,0.0,0.0,0.0,Chrome,Windows,False,143.0.0,10,RU,
2026-02-19 06:13:55.691000+00:00,2026-02-19 06:19:31.958000+00:00,user_00001,5.60445,1,10,6,2,0.0,0.0,0.0,1.0,Chrome,Windows,False,145.0.0,10,RU,
2026-02-19 06:21:06.339000+00:00,2026-02-19 06:21:06.339000+00:00,user_00001,0.0,1,11,1,0,0.0,0.0,0.0,0.0,Chrome,Windows,False,145.0.0,10,RU,
2026-02-24 06:44:22.274000+00:00,2026-02-24 06:47:25.120000+00:00,user_00001,3.047433333333333,1,12,4,0,0.0,0.0,0.0,0.0,Chrome,Windows,False,145.0.0,10,RU,Irkutsk Oblast
2025-04-12 11:03:41.298000+00:00,2025-04-12 11:11:30.320000+00:00,user_00003,7.817033333333333,1,1,9,4,0.0,0.0,1.0,1.0,Chrome Mobile WebView,Mac OS X,True,132.0.6834,10.15.7,RU,Transbaikal Territory
2025-04-12 12:42:00.876000+00:00,2025-04-12 12:48:52.538000+00:00,user_00004,6.861033333333333,0,1,3,0,0.0,0.0,0.0,0.0,Huawei Browser,Android,True,13.0.5,12,RU,Transbaikal Territory
2025-04-12 13:21:22.108000+00:00,2025-04-12 13:30:40.655000+00:00,user_00004,9.309116666666666,1,2,12,6,0.0,0.0,2.0,1.0,Huawei Browser,Android,True,13.0.5,12,RU,Transbaikal Territory
2025-04-13 13:48:09.863000+00:00,2025-04-13 13:52:01.885000+00:00,user_00004,3.867033333333333,1,3,4,0,0.0,0.0,0.0,0.0,Yandex Browser,Android,True,25.2.6,12,RU,Transbaikal Territory
2025-04-15 00:35:19.305000+00:00,2025-04-15 00:42:39.431000+00:00,user_00005,7.335433333333333,0,1,13,10,1.0,0.0,3.0,1.0,Yandex Browser,iOS,True,25.2.2,18.3.1,RU,Irkutsk Oblast
2025-04-15 00:56:35.718000+00:00,2025-04-15 01:01:16.246000+00:00,user_00005,4.675466666666667,1,2,6,2,1.0,0.0,0.0,0.0,Yandex Browser,iOS,True,25.2.2,18.3.1,RU,Irkutsk Oblast
2025-04-16 00:48:58.492000+00:00,2025-04-16 00:52:07.594000+00:00,user_00005,3.1517,1,3,4,0,0.0,0.0,0.0,0.0,Yandex Browser,iOS,True,25.2.2,18.4.0,RU,Irkutsk Oblast
2025-04-16 01:01:49.746000+00:00,2025-04-16 01:01:49.746000+00:00,user_00005,0.0,0,4,1,0,0.0,0.0,0.0,0.0,Yandex Browser,iOS,True,25.2.2,18.4.0,RU,Irkutsk Oblast
2025-04-17 12:56:30.779000+00:00,2025-04-17 12:59:56.831000+00:00,user_00005,3.4341999999999997,1,5,6,2,1.0,0.0,0.0,0.0,Yandex Browser,iOS,True,25.2.2,18.4.0,RU,Transbaikal Territory
2025-04-15 04:10:37.677000+00:00,2025-04-15 04:14:31.425000+00:00,user_00006,3.8958,1,1,11,6,1.0,1.0,1.0,0.0,Chrome,Linux,False,133.0.0,,RU,Transbaikal Territory
2025-04-15 05:27:32.739000+00:00,2025-04-15 05:30:47.835000+00:00,user_00006,3.2516000000000003,1,2,8,4,2.0,0.0,0.0,0.0,Chrome,Linux,False,133.0.0,,RU,Transbaikal Territory
2025-04-15 05:11:44.310000+00:00,2025-04-15 05:16:36.619000+00:00,user_00007,4.871816666666667,1,1,7,2,0.0,0.0,1.0,0.0,Huawei Browser,Android,True,15.0.4,10,RU,Transbaikal Territory
2025-04-15 05:21:36.249000+00:00,2025-04-15 05:25:05.459000+00:00,user_00007,3.4868333333333337,1,2,2,0,0.0,0.0,0.0,0.0,Huawei Browser,Android,True,15.0.4,10,RU,Transbaikal Territory
