createdAt,record,actor.id,model,action,changes,actor.role,error,performance.score,performance.internetSpeedText,performance.avgLagMs,browser,os,is_mobile,browser_version,os_version,country,region,timezone
2025-04-06T13:38:56.887Z,rec_00001,user_00001,user,update,"['ipaddress', 'loggedAt']",student,,,,,Chrome,Windows,False,134.0.0,10,RU,Irkutsk Oblast,Asia/Irkutsk
2025-04-06T13:38:56.916Z,rec_00002,,room,create,"['identifier', 'template', 'provider', 'subject', 'openAt', 'closeAt', 'timeout', 'lifetime', 'expires', 'removeAt', 'rules', 'url', 'api', 'invites', 'quorum', 'concurrent', 'planAfter', 'planBefore', 'members', 'addons', 'metrics', 'weights', 'threshold', 'attempt', 'student', 'proctor', 'status', 'tags', 'locale', 'timezone', 'error']",,,,,,,,,,,,,
2025-04-06T13:46:21.080Z,rec_00002,user_00001,room,update,['error'],student,Multiscreen: Use more than one screen,,,,Chrome,Windows,False,134.0.0,10,RU,Irkutsk Oblast,Asia/Irkutsk
2025-04-06T13:46:49.456Z,rec_00002,user_00001,room,update,['error'],student,,,,,Chrome,Windows,False,134.0.0,10,RU,Irkutsk Oblast,Asia/Irkutsk
2025-04-06T13:47:16.238Z,rec_00002,user_00001,room,update,['student'],student,,,,,Chrome,Windows,False,134.0.0,10,RU,Irkutsk Oblast,Asia/Irkutsk
2025-04-06T13:48:12.910Z,rec_00002,user_00001,room,update,['student'],student,,,,,Chrome,Windows,False,134.0.0,10,RU,Irkutsk Oblast,Asia/Irkutsk
2025-04-06T13:48:58.414Z,rec_00002,user_00001,room,update,['student'],student,,,,,Chrome,Windows,False,134.0.0,10,RU,Irkutsk Oblast,Asia/Irkutsk
2025-04-06T13:49:17.793Z,rec_00002,user_00001,room,update,['student'],student,,,,,Chrome,Windows,False,134.0.0,10,RU,Irkutsk Oblast,Asia/Irkutsk
2025-04-06T13:51:07.273Z,rec_00002,user_00001,room,update,"['startedAt', 'signedAt', 'conclusion', 'status']",student,,,,,Chrome,Windows,False,134.0.0,10,RU,Irkutsk Oblast,Asia/Irkutsk
2025-04-06T13:53:25.491Z,rec_00003,user_00002,user,update,"['ipaddress', 'loggedAt']",administrator,,,,,Chrome,Windows,False,134.0.0,10,RU,Irkutsk Oblast,Asia/Irkutsk
2025-04-06T13:53:54.132Z,rec_00004,user_00002,room,delete,"['identifier', 'template', 'provider', 'subject', 'openAt', 'closeAt', 'timeout', 'lifetime', 'expires', 'removeAt', 'rules', 'url', 'api', 'invites', 'quorum', 'concurrent', 'planAfter', 'planBefore', 'members', 'addons', 'metrics', 'weights', 'threshold', 'attempt', 'student', 'proctor', 'startedAt', 'stoppedAt', 'signedAt', 'conclusion', 'comment', 'status', 'tags', 'locale', 'timezone', 'error']",administrator,,,,,Chrome,Windows,False,134.0.0,10,RU,Irkutsk Oblast,Asia/Irkutsk
2025-04-06T13:53:54.147Z,rec_00005,,user,delete,"['locked', 'role', 'provider', 'group', 'nickname', 'lang', 'verified', 'unique', 'loggedAt', 'changedAt', 'ipaddress', 'useragent']",,,,,,,,,,,,,
2025-04-06T13:56:00.350Z,rec_00006,user_00002,room,delete,"['identifier', 'template', 'provider', 'subject', 'openAt', 'closeAt', 'timeout', 'lifetime', 'expires', 'removeAt', 'rules', 'url', 'api', 'invites', 'quorum', 'concurrent', 'planAfter', 'planBefore', 'members', 'addons', 'metrics', 'weights', 'threshold', 'attempt', 'student', 'proctor', 'startedAt', 'stoppedAt', 'signedAt', 'conclusion', 'comment', 'status', 'tags', 'locale', 'timezone', 'error']",administrator,,,,,Chrome,Windows,False,134.0.0,10,RU,Irkutsk Oblast,Asia/Irkutsk
2025-04-06T13:56:23.870Z,rec_00007,user_00002,room,delete,"['identifier', 'template', 'provider', 'subject', 'openAt', 'closeAt', 'timeout', 'lifetime', 'expires', 'removeAt', 'rules', 'url', 'api', 'invites', 'quorum', 'concurrent', 'planAfter', 'planBefore', 'members', 'addons', 'metrics', 'weights', 'threshold', 'attempt', 'student', 'proctor', 'startedAt', 'stoppedAt', 'signedAt', 'conclusion', 'comment', 'status', 'tags', 'locale', 'timezone', 'error']",administrator,,,,,Chrome,Windows,False,134.0.0,10,RU,Irkutsk Oblast,Asia/Irkutsk
2025-04-06T13:56:23.896Z,rec_00008,,user,delete,"['locked', 'role', 'provider', 'group', 'nickname', 'lang', 'verified', 'unique', 'loggedAt', 'changedAt', 'ipaddress', 'useragent']",,,,,,,,,,,,,
2025-04-06T13:56:34.033Z,rec_00009,user_00002,room,delete,"['identifier', 'template', 'provider', 'subject', 'openAt', 'closeAt', 'timeout', 'lifetime', 'expires', 'removeAt', 'rules', 'url', 'api', 'invites', 'quorum', 'concurrent', 'planAfter', 'planBefore', 'members', 'addons', 'metrics', 'weights', 'threshold', 'attempt', 'student', 'proctor', 'startedAt', 'stoppedAt', 'signedAt', 'conclusion', 'comment', 'status', 'tags', 'locale', 'timezone', 'error']",administrator,,,,,Chrome,Windows,False,134.0.0,10,RU,Irkutsk Oblast,Asia/Irkutsk
2025-04-06T13:56:34.048Z,rec_00010,,user,delete,"['locked', 'role', 'provider', 'group', 'nickname', 'lang', 'verified', 'unique', 'loggedAt', 'changedAt', 'ipaddress', 'useragent']",,,,,,,,,,,,,
2025-04-06T13:58:11.873Z,rec_00002,user_00001,room,update,"['stoppedAt', 'status']",student,,,,,Chrome,Windows,False,134.0.0,10,RU,Irkutsk Oblast,Asia/Irkutsk
